Altium Designer Pick and Place Locations
D:\Memristor\Electronics\Memristor_AltiumProjects\Motion_Driver_v2.0\HW\Project Outputs for Motion_Driver_v2\Pick Place\Pick Place for Motion_Driver_v2.txt

========================================================================================================================
File Design Information:

Date:       21.01.19
Time:       00:33
Revision:   1bca344003ba6dfff7abcbc3aefb2f99308c3ed2
Variant:    No variations
Units used: mm

Center-X(mm) Center-Y(mm) Comment                     Description                        Designator             Footprint                   Layer       Rotation 
69.8003      102.0077     PIC32MK1024MCF064           "IC MCU 32BIT 1MB FLASH 64TQFP"    U6                     TQFP-64-500um               TopLayer    90       
39.0486      101.1174     ADUM1201BRZ-RL7             "DGTL ISO 2.5KV GEN PURP 8SOIC"    U9                     SOIC-8                      TopLayer    180      
51.0074      89.2160      #NAME?                      "CONN MOD JACK 6P4C R/A UNSHLD"    P8                     RJ11-6N-B                   TopLayer    90       
59.9440      89.0618      *                           ""                                 J2                     HM1x2                       TopLayer    270      
36.6878      97.2664      100n                        "CAP CER 100n 10V X5R 10% 0603"    C24                    CER_0805                    TopLayer    270      
41.2598      97.3680      100n                        "CAP CER 100n 10V X5R 10% 0603"    C23                    CER_0805                    TopLayer    90       
45.8470      126.1110     220nF                       "CAP CER 220n 10V X5R 10% 0805"    C11_H-Bridge1          CER_0805                    BottomLayer 270      
95.6818      126.3650     220nF                       "CAP CER 220n 10V X5R 10% 0805"    C11_H_Bridge_2         CER_0805                    BottomLayer 270      
58.9280      126.1110     220nF                       "CAP CER 220n 10V X5R 10% 0805"    C12_H-Bridge1          CER_0805                    BottomLayer 90       
108.7628     126.3650     220nF                       "CAP CER 220n 10V X5R 10% 0805"    C12_H_Bridge_2         CER_0805                    BottomLayer 90       
42.5450      126.1110     220nF                       "CAP CER 220n 10V X5R 10% 0805"    C13_H-Bridge1          CER_0805                    BottomLayer 270      
92.3798      126.3650     220nF                       "CAP CER 220n 10V X5R 10% 0805"    C13_H_Bridge_2         CER_0805                    BottomLayer 270      
55.6260      126.1110     220nF                       "CAP CER 220n 10V X5R 10% 0805"    C14_H-Bridge1          CER_0805                    BottomLayer 270      
105.4608     126.3650     220nF                       "CAP CER 220n 10V X5R 10% 0805"    C14_H_Bridge_2         CER_0805                    BottomLayer 270      
46.9900      117.9830     1nF                         "CAP CER 1n 50V X7R 10% 0805"      C15_H-Bridge1          CER_0805                    BottomLayer 360      
96.8248      118.2370     1nF                         "CAP CER 1n 50V X7R 10% 0805"      C15_H_Bridge_2         CER_0805                    BottomLayer 360      
60.0710      117.9830     1nF                         "CAP CER 1n 50V X7R 10% 0805"      C16_H-Bridge1          CER_0805                    BottomLayer 360      
109.9058     118.2370     1nF                         "CAP CER 1n 50V X7R 10% 0805"      C16_H_Bridge_2         CER_0805                    BottomLayer 360      
45.2120      117.9830     100nF                       "CAP CER 100n 50V X7R 10% 0805"    C17_H-Bridge1          CER_0805                    BottomLayer 360      
95.0468      118.2370     100nF                       "CAP CER 100n 50V X7R 10% 0805"    C17_H_Bridge_2         CER_0805                    BottomLayer 360      
58.2930      117.9830     100nF                       "CAP CER 100n 50V X7R 10% 0805"    C18_H-Bridge1          CER_0805                    BottomLayer 360      
